Description,pvalue,cluster
GO:0010361_regulation of anion channel activity by blue light,1,5
GO:0010362_negative regulation of anion channel activity by blue light,1,5
GO:0010392_galactoglucomannan metabolic process,1,5
GO:0010394_homogalacturonan metabolic process,1,5
GO:0010432_bract development,1,5
GO:0010433_bract morphogenesis,1,5
GO:0010434_bract formation,1,5
GO:0010447_response to acidic pH,1,5
GO:0010480_microsporocyte differentiation,1,5
GO:0010581_regulation of starch biosynthetic process,1,5
GO:0010597_green leaf volatile biosynthetic process,1,5
GO:0010731_protein glutathionylation,1,5
GO:0010815_bradykinin catabolic process,1,5
GO:0010830_regulation of myotube differentiation,1,5
GO:0010930_negative regulation of auxin mediated signaling pathway,1,5
GO:0014071_response to cycloalkane,1,5
GO:0014074_response to purine-containing compound,1,5
GO:0015669_gas transport,1,5
GO:0015671_oxygen transport,1,5
GO:0015690_aluminum cation transport,1,5
GO:0015696_ammonium transport,1,5
GO:0015708_silicic acid import across plasma membrane,1,5
GO:0015712_hexose phosphate transport,1,5
GO:0015713_phosphoglycerate transmembrane transport,1,5
GO:0015714_phosphoenolpyruvate transport,1,5
GO:0015717_triose phosphate transport,1,5
GO:0015727_lactate transport,1,5
GO:0015744_succinate transport,1,5
GO:0015746_citrate transport,1,5
GO:0015760_glucose-6-phosphate transport,1,5
GO:0015768_maltose transport,1,5
GO:0015780_nucleotide-sugar transmembrane transport,1,5
GO:0015786_UDP-glucose transmembrane transport,1,5
GO:0015791_polyol transport,1,5
GO:0015794_glycerol-3-phosphate transmembrane transport,1,5
GO:0015800_acidic amino acid transport,1,5
GO:0015802_basic amino acid transport,0.263,5
GO:0015819_lysine transport,1,5
GO:0015843_methylammonium transport,1,5
GO:0015853_adenine transport,1,5
GO:0015854_guanine transport,1,5
GO:0015866_ADP transport,1,5
GO:0015884_folic acid transport,1,5
GO:0015917_aminophospholipid transport,1,5
GO:0015969_guanosine tetraphosphate metabolic process,1,5
GO:0015977_carbon fixation,1,5
GO:0015995_chlorophyll biosynthetic process,1,5
GO:0016103_diterpenoid catabolic process,0.015,5
GO:0016104_triterpenoid biosynthetic process,1,5
GO:0016110_tetraterpenoid catabolic process,1,5
GO:0016117_carotenoid biosynthetic process,1,5
GO:0016118_carotenoid catabolic process,1,5
GO:0016121_carotene catabolic process,1,5
GO:0016122_xanthophyll metabolic process,1,5
GO:0016124_xanthophyll catabolic process,1,5
GO:0016139_glycoside catabolic process,1,5
GO:0016145_S-glycoside catabolic process,1,5
GO:0016318_ommatidial rotation,1,5
GO:0016579_protein deubiquitination,1,5
GO:0017000_antibiotic biosynthetic process,1,5
GO:0018149_peptide cross-linking,1,5
GO:0018160_peptidyl-pyrromethane cofactor linkage,1,5
GO:0018198_peptidyl-cysteine modification,1,5
GO:0018316_peptide cross-linking via L-cystine,1,5
GO:0018874_benzoate metabolic process,1,5
GO:0019218_regulation of steroid metabolic process,1,5
GO:0019244_lactate biosynthetic process from pyruvate,1,5
GO:0019249_lactate biosynthetic process,1,5
GO:0019253_reductive pentose-phosphate cycle,1,5
GO:0019264_glycine biosynthetic process from serine,1,5
GO:0019284_L-methionine salvage from S-adenosylmethionine,1,5
GO:0019285_glycine betaine biosynthetic process from choline,1,5
GO:0019323_pentose catabolic process,1,5
GO:0019359_nicotinamide nucleotide biosynthetic process,1,5
GO:0019363_pyridine nucleotide biosynthetic process,1,5
GO:0019369_arachidonic acid metabolic process,1,5
GO:0019374_galactolipid metabolic process,1,5
GO:0019375_galactolipid biosynthetic process,1,5
GO:0019388_galactose catabolic process,1,5
GO:0019406_hexitol biosynthetic process,1,5
GO:0019427_acetyl-CoA biosynthetic process from acetate,1,5
GO:0019430_removal of superoxide radicals,1,5
GO:0019441_tryptophan catabolic process to kynurenine,1,5
GO:0019464_glycine decarboxylation via glycine cleavage system,1,5
GO:0019478_D-amino acid catabolic process,1,5
"GO:0019481_L-alanine catabolic process, by transamination",1,5
GO:0019509_L-methionine salvage from methylthioadenosine,1,5
GO:0019516_lactate oxidation,1,5
GO:0019521_D-gluconate metabolic process,1,5
GO:0019566_arabinose metabolic process,1,5
GO:0019593_mannitol biosynthetic process,1,5
GO:0019594_mannitol metabolic process,1,5
GO:0019628_urate catabolic process,1,5
GO:0019674_NAD metabolic process,1,5
GO:0019676_ammonia assimilation cycle,1,5
GO:0019695_choline metabolic process,1,5
GO:0019740_nitrogen utilization,1,5
GO:0019742_pentacyclic triterpenoid metabolic process,1,5
GO:0019745_pentacyclic triterpenoid biosynthetic process,1,5
GO:0019755_one-carbon compound transport,1,5
GO:0019759_glycosinolate catabolic process,1,5
GO:0019762_glucosinolate catabolic process,1,5
"GO:0019918_peptidyl-arginine methylation, to symmetrical-dimethyl arginine",1,5
GO:0021536_diencephalon development,1,5
GO:0022900_electron transport chain,1,5
GO:0030004_cellular monovalent inorganic cation homeostasis,1,5
GO:0030007_cellular potassium ion homeostasis,1,5
GO:0030042_actin filament depolymerization,1,5
GO:0030091_protein repair,1,5
GO:0030104_water homeostasis,1,5
GO:0030150_protein import into mitochondrial matrix,1,5
GO:0030166_proteoglycan biosynthetic process,1,5
GO:0030224_monocyte differentiation,1,5
GO:0030225_macrophage differentiation,1,5
GO:0030308_negative regulation of cell growth,1,5
GO:0030317_flagellated sperm motility,1,5
GO:0030435_sporulation resulting in formation of a cellular spore,1,5
GO:0030490_maturation of SSU-rRNA,1,5
GO:0030493_bacteriochlorophyll metabolic process,1,5
GO:0030494_bacteriochlorophyll biosynthetic process,1,5
GO:0030497_fatty acid elongation,1,5
GO:0030505_inorganic diphosphate transport,1,5
GO:0030520_intracellular estrogen receptor signaling pathway,1,5
GO:0030834_regulation of actin filament depolymerization,1,5
GO:0030835_negative regulation of actin filament depolymerization,1,5
GO:0031098_stress-activated protein kinase signaling cascade,1,5
GO:0031281_positive regulation of cyclase activity,1,5
GO:0031290_retinal ganglion cell axon guidance,1,5
GO:0031349_positive regulation of defense response,1,5
GO:0031425_chloroplast RNA processing,0.0171,5
GO:0031426_polycistronic mRNA processing,1,5
GO:0031455_glycine betaine metabolic process,1,5
GO:0031456_glycine betaine biosynthetic process,1,5
GO:0031539_positive regulation of anthocyanin metabolic process,1,5
GO:0031644_regulation of nervous system process,1,5
GO:0031998_regulation of fatty acid beta-oxidation,1,5
GO:0032102_negative regulation of response to external stimulus,1,5
GO:0032461_positive regulation of protein oligomerization,1,5
GO:0032544_plastid translation,1,5
GO:0032868_response to insulin,1,5
GO:0032890_regulation of organic acid transport,1,5
GO:0032940_secretion by cell,0.552,5
GO:0033119_negative regulation of RNA splicing,1,5
GO:0033198_response to ATP,1,5
GO:0033239_negative regulation of cellular amine metabolic process,1,5
GO:0033306_phytol metabolic process,1,5
GO:0033333_fin development,1,5
GO:0033334_fin morphogenesis,1,5
GO:0033383_geranyl diphosphate metabolic process,1,5
GO:0033385_geranylgeranyl diphosphate metabolic process,1,5
GO:0033485_cyanidin 3-O-glucoside biosynthetic process,1,5
GO:0033500_carbohydrate homeostasis,1,5
GO:0033519_phytyl diphosphate metabolic process,1,5
GO:0033521_phytyl diphosphate biosynthetic process,1,5
GO:0034204_lipid translocation,1,5
GO:0034389_lipid droplet organization,1,5
GO:0034698_response to gonadotropin,1,5
GO:0034755_iron ion transmembrane transport,1,5
GO:0035150_regulation of tube size,1,5
GO:0035235_ionotropic glutamate receptor signaling pathway,1,5
GO:0035304_regulation of protein dephosphorylation,0.576,5
GO:0035311_wing cell fate specification,1,5
GO:0035436_triose phosphate transmembrane transport,1,5
GO:0035437_maintenance of protein localization in endoplasmic reticulum,0.0468,5
GO:0035445_borate transmembrane transport,1,5
GO:0035674_tricarboxylic acid transmembrane transport,1,5
GO:0035873_lactate transmembrane transport,1,5
GO:0035987_endodermal cell differentiation,1,5
GO:0036068_light-independent chlorophyll biosynthetic process,1,5
GO:0036290_protein trans-autophosphorylation,1,5
GO:0038171_cannabinoid signaling pathway,1,5
GO:0040010_positive regulation of growth rate,1,5
GO:0040019_positive regulation of embryonic development,1,5
GO:0042052_rhabdomere development,1,5
GO:0042110_T cell activation,1,5
GO:0042118_endothelial cell activation,1,5
GO:0042126_nitrate metabolic process,1,5
GO:0042128_nitrate assimilation,1,5
GO:0042219_cellular modified amino acid catabolic process,1,5
GO:0042273_ribosomal large subunit biogenesis,1,5
GO:0042335_cuticle development,1,5
GO:0042344_indole glucosinolate catabolic process,1,5
GO:0042386_hemocyte differentiation,1,5
GO:0042425_choline biosynthetic process,1,5
GO:0042476_odontogenesis,1,5
"GO:0042548_regulation of photosynthesis, light reaction",1,5
GO:0042550_photosystem I stabilization,1,5
GO:0042551_neuron maturation,1,5
GO:0042593_glucose homeostasis,1,5
GO:0042631_cellular response to water deprivation,1,5
GO:0042675_compound eye cone cell differentiation,1,5
GO:0042710_biofilm formation,1,5
GO:0042777_plasma membrane ATP synthesis coupled proton transport,1,5
GO:0042790_nucleolar large rRNA transcription by RNA polymerase I,1,5
GO:0042793_plastid transcription,1,5
GO:0042816_vitamin B6 metabolic process,1,5
GO:0042817_pyridoxal metabolic process,1,5
GO:0042819_vitamin B6 biosynthetic process,1,5
GO:0042821_pyridoxal biosynthetic process,1,5
GO:0042822_pyridoxal phosphate metabolic process,1,5
GO:0042823_pyridoxal phosphate biosynthetic process,1,5
GO:0042851_L-alanine metabolic process,1,5
GO:0042853_L-alanine catabolic process,1,5
GO:0042873_aldonate transmembrane transport,1,5
GO:0042938_dipeptide transport,0.0347,5
GO:0042939_tripeptide transport,0.0468,5
GO:0042948_salicin transport,1,5
GO:0042949_arbutin transport,1,5
GO:0043085_positive regulation of catalytic activity,1,5
"GO:0043155_negative regulation of photosynthesis, light reaction",1,5
GO:0043171_peptide catabolic process,1,5
GO:0043201_response to leucine,0.0125,5
GO:0043276_anoikis,0.02,5
GO:0043353_enucleate erythrocyte differentiation,1,5
GO:0043392_negative regulation of DNA binding,1,5
GO:0043434_response to peptide hormone,1,5
GO:0043572_plastid fission,1,5
GO:0043605_cellular amide catabolic process,1,5
GO:0043619_regulation of transcription from RNA polymerase II promoter in response to oxidative stress,1,5
GO:0043620_regulation of DNA-templated transcription in response to stress,1,5
GO:0043648_dicarboxylic acid metabolic process,1,5
GO:0043649_dicarboxylic acid catabolic process,1,5
GO:0043693_monoterpene biosynthetic process,1,5
GO:0044010_single-species biofilm formation,1,5
GO:0044011_single-species biofilm formation on inanimate substrate,1,5
GO:0044057_regulation of system process,1,5
GO:0044068_modulation by symbiont of host cellular process,1,5
GO:0044247_cellular polysaccharide catabolic process,1,5
GO:0044273_sulfur compound catabolic process,1,5
GO:0044743_protein transmembrane import into intracellular organelle,1,5
GO:0045016_mitochondrial magnesium ion transmembrane transport,1,5
GO:0045037_protein import into chloroplast stroma,1,5
GO:0045038_protein import into chloroplast thylakoid membrane,1,5
GO:0045039_protein insertion into mitochondrial inner membrane,1,5
GO:0045089_positive regulation of innate immune response,1,5
GO:0045176_apical protein localization,1,5
GO:0045332_phospholipid translocation,1,5
GO:0045444_fat cell differentiation,1,5
GO:0045454_cell redox homeostasis,1,5
GO:0045465_R8 cell differentiation,1,5
GO:0045487_gibberellin catabolic process,0.015,5
GO:0045639_positive regulation of myeloid cell differentiation,1,5
GO:0045649_regulation of macrophage differentiation,1,5
GO:0045651_positive regulation of macrophage differentiation,1,5
GO:0045727_positive regulation of translation,1,5
GO:0045837_negative regulation of membrane potential,1,5
GO:0045879_negative regulation of smoothened signaling pathway,1,5
GO:0045995_regulation of embryonic development,1,5
GO:0046037_GMP metabolic process,1,5
GO:0046040_IMP metabolic process,1,5
GO:0046134_pyrimidine nucleoside biosynthetic process,1,5
GO:0046177_D-gluconate catabolic process,0.00503,5
GO:0046184_aldehyde biosynthetic process,1,5
GO:0046209_nitric oxide metabolic process,1,5
GO:0046217_indole phytoalexin metabolic process,1,5
GO:0046247_terpene catabolic process,1,5
GO:0046292_formaldehyde metabolic process,1,5
GO:0046320_regulation of fatty acid oxidation,1,5
GO:0046331_lateral inhibition,1,5
GO:0046373_L-arabinose metabolic process,1,5
GO:0046457_prostanoid biosynthetic process,1,5
GO:0046496_nicotinamide nucleotide metabolic process,1,5
GO:0046622_positive regulation of organ growth,0.00503,5
GO:0046683_response to organophosphorus,1,5
"GO:0046740_transport of virus in host, cell to cell",1,5
GO:0046903_secretion,0.606,5
"GO:0048025_negative regulation of mRNA splicing, via spliceosome",1,5
GO:0048194_Golgi vesicle budding,1,5
GO:0048312_intracellular distribution of mitochondria,1,5
GO:0048332_mesoderm morphogenesis,1,5
GO:0048439_flower morphogenesis,1,5
GO:0048462_carpel formation,1,5
GO:0048480_stigma development,1,5
GO:0048511_rhythmic process,1,5
GO:0048527_lateral root development,1,5
GO:0048530_fruit morphogenesis,1,5
GO:0048533_sporocyte differentiation,1,5
GO:0048730_epidermis morphogenesis,1,5
GO:0048742_regulation of skeletal muscle fiber development,1,5
GO:0050665_hydrogen peroxide biosynthetic process,1,5
GO:0050727_regulation of inflammatory response,1,5
GO:0050777_negative regulation of immune response,1,5
GO:0050877_nervous system process,0.486,5
GO:0050992_dimethylallyl diphosphate biosynthetic process,1,5
GO:0051016_barbed-end actin filament capping,1,5
GO:0051031_tRNA transport,1,5
GO:0051069_galactomannan metabolic process,1,5
GO:0051070_galactomannan biosynthetic process,1,5
GO:0051153_regulation of striated muscle cell differentiation,1,5
GO:0051156_glucose 6-phosphate metabolic process,1,5
GO:0051168_nuclear export,1,5
GO:0051180_vitamin transport,1,5
GO:0051204_protein insertion into mitochondrial membrane,1,5
GO:0051205_protein insertion into membrane,1,5
GO:0051216_cartilage development,1,5
GO:0051260_protein homooligomerization,1,5
GO:0051262_protein tetramerization,1,5
GO:0051504_diterpene phytoalexin precursor biosynthetic process pathway,1,5
GO:0051513_regulation of monopolar cell growth,0.00196,5
GO:0051645_Golgi localization,1,5
GO:0051646_mitochondrion localization,1,5
GO:0051693_actin filament capping,1,5
GO:0051775_response to redox state,1,5
GO:0051865_protein autoubiquitination,1,5
GO:0051930_regulation of sensory perception of pain,1,5
GO:0051931_regulation of sensory perception,1,5
GO:0051952_regulation of amine transport,1,5
GO:0051955_regulation of amino acid transport,1,5
GO:0052126_movement in host environment,1,5
GO:0052173_response to defenses of other organism,1,5
GO:0052200_response to host defenses,1,5
GO:0052317_camalexin metabolic process,1,5
GO:0052544_defense response by callose deposition in cell wall,0.119,5
GO:0052553_modulation by symbiont of host immune response,1,5
GO:0052559_induction by symbiont of host immune response,1,5
GO:0052572_response to host immune response,1,5
GO:0052646_alditol phosphate metabolic process,1,5
GO:0052837_thiazole biosynthetic process,1,5
GO:0055089_fatty acid homeostasis,1,5
GO:0055090_acylglycerol homeostasis,1,5
GO:0055091_phospholipid homeostasis,1,5
GO:0060151_peroxisome localization,1,5
GO:0060292_long-term synaptic depression,1,5
GO:0060294_cilium movement involved in cell motility,1,5
GO:0060359_response to ammonium ion,1,5
GO:0060401_cytosolic calcium ion transport,1,5
GO:0060402_calcium ion transport into cytosol,1,5
GO:0060416_response to growth hormone,1,5
GO:0060776_simple leaf morphogenesis,1,5
GO:0060860_regulation of floral organ abscission,1,5
GO:0060862_negative regulation of floral organ abscission,1,5
GO:0061077_chaperone-mediated protein folding,1,5
GO:0061158_3'-UTR-mediated mRNA destabilization,1,5
GO:0061448_connective tissue development,1,5
GO:0065001_specification of axis polarity,1,5
GO:0070189_kynurenine metabolic process,1,5
GO:0070328_triglyceride homeostasis,1,5
GO:0070407_oxidation-dependent protein catabolic process,1,5
GO:0070413_trehalose metabolism in response to stress,1,5
GO:0070483_detection of hypoxia,1,5
GO:0070646_protein modification by small protein removal,1,5
GO:0070813_hydrogen sulfide metabolic process,1,5
GO:0070814_hydrogen sulfide biosynthetic process,1,5
GO:0070941_eisosome assembly,1,5
GO:0071216_cellular response to biotic stimulus,1,5
GO:0071229_cellular response to acid chemical,1,5
GO:0071284_cellular response to lead ion,1,5
GO:0071322_cellular response to carbohydrate stimulus,1,5
GO:0071329_cellular response to sucrose stimulus,1,5
GO:0071366_cellular response to indolebutyric acid stimulus,1,5
GO:0071422_succinate transmembrane transport,1,5
GO:0071431_tRNA-containing ribonucleoprotein complex export from nucleus,1,5
GO:0071450_cellular response to oxygen radical,1,5
GO:0071451_cellular response to superoxide,1,5
GO:0071454_cellular response to anoxia,1,5
GO:0071457_cellular response to ozone,1,5
GO:0071461_cellular response to redox state,1,5
GO:0071462_cellular response to water stimulus,1,5
GO:0071470_cellular response to osmotic stress,1,5
GO:0071474_cellular hyperosmotic response,1,5
GO:0071475_cellular hyperosmotic salinity response,1,5
GO:0071484_cellular response to light intensity,1,5
GO:0071486_cellular response to high light intensity,1,5
GO:0071616_acyl-CoA biosynthetic process,1,5
GO:0071918_urea transmembrane transport,1,5
GO:0071926_endocannabinoid signaling pathway,1,5
GO:0071930_negative regulation of transcription involved in G1/S transition of mitotic cell cycle,1,5
GO:0071994_phytochelatin transmembrane transport,1,5
GO:0072334_UDP-galactose transmembrane transport,1,5
GO:0072337_modified amino acid transport,1,5
GO:0072488_ammonium transmembrane transport,1,5
GO:0072489_methylammonium transmembrane transport,1,5
GO:0075136_response to host,1,5
GO:0080021_response to benzoic acid,1,5
GO:0080026_response to indolebutyric acid,1,5
GO:0080036_regulation of cytokinin-activated signaling pathway,1,5
GO:0080052_response to histidine,0.01,5
GO:0080053_response to phenylalanine,0.01,5
GO:0080091_regulation of raffinose metabolic process,1,5
GO:0080093_regulation of photorespiration,1,5
GO:0080114_positive regulation of glycine hydroxymethyltransferase activity,1,5
GO:0080117_secondary growth,1,5
GO:0080127_fruit septum development,1,5
GO:0080136_priming of cellular response to stress,1,5
GO:0080142_regulation of salicylic acid biosynthetic process,1,5
GO:0080143_regulation of amino acid export,1,5
GO:0080148_negative regulation of response to water deprivation,1,5
GO:0080149_sucrose induced translational repression,1,5
GO:0080152_regulation of reductive pentose-phosphate cycle,1,5
GO:0080153_negative regulation of reductive pentose-phosphate cycle,1,5
GO:0080156_mitochondrial mRNA modification,1,5
GO:0080157_regulation of plant-type cell wall organization or biogenesis,1,5
GO:0080163_regulation of protein serine/threonine phosphatase activity,0.042,5
GO:0080164_regulation of nitric oxide metabolic process,1,5
GO:0080170_hydrogen peroxide transmembrane transport,1,5
GO:0080181_lateral root branching,1,5
GO:0080183_response to photooxidative stress,1,5
GO:0080186_developmental vegetative growth,1,5
GO:0080190_lateral growth,1,5
GO:0090056_regulation of chlorophyll metabolic process,1,5
GO:0090057_root radial pattern formation,1,5
GO:0090151_establishment of protein localization to mitochondrial membrane,1,5
GO:0090352_regulation of nitrate assimilation,1,5
GO:0090391_granum assembly,1,5
GO:0090481_pyrimidine nucleotide-sugar transmembrane transport,1,5
"GO:0090503_RNA phosphodiester bond hydrolysis, exonucleolytic",1,5
GO:0090605_submerged biofilm formation,1,5
GO:0090609_single-species submerged biofilm formation,1,5
GO:0097035_regulation of membrane lipid distribution,1,5
GO:0097722_sperm motility,1,5
GO:0098630_aggregation of unicellular organisms,1,5
GO:0098743_cell aggregation,1,5
GO:0098916_anterograde trans-synaptic signaling,1,5
GO:0099536_synaptic signaling,1,5
GO:0099537_trans-synaptic signaling,1,5
GO:0101030_tRNA-guanine transglycosylation,1,5
GO:0120253_hydrocarbon catabolic process,1,5
GO:0140253_cell-cell fusion,1,5
GO:0140352_export from cell,0.565,5
GO:1900030_regulation of pectin biosynthetic process,1,5
GO:1900037_regulation of cellular response to hypoxia,1,5
GO:1900055_regulation of leaf senescence,1,5
GO:1900424_regulation of defense response to bacterium,1,5
GO:1900425_negative regulation of defense response to bacterium,1,5
GO:1900426_positive regulation of defense response to bacterium,1,5
GO:1900864_mitochondrial RNA modification,1,5
GO:1900865_chloroplast RNA modification,0.0682,5
GO:1901038_cyanidin 3-O-glucoside metabolic process,1,5
GO:1901064_syringal lignin metabolic process,1,5
GO:1901066_syringal lignin biosynthetic process,1,5
GO:1901264_carbohydrate derivative transport,1,5
GO:1901401_regulation of tetrapyrrole metabolic process,1,5
GO:1901404_regulation of tetrapyrrole catabolic process,1,5
GO:1901405_negative regulation of tetrapyrrole catabolic process,1,5
GO:1901428_regulation of syringal lignin biosynthetic process,1,5
GO:1901430_positive regulation of syringal lignin biosynthetic process,1,5
GO:1901562_response to paraquat,1,5
GO:1901652_response to peptide,1,5
GO:1901804_beta-glucoside metabolic process,1,5
GO:1901806_beta-glucoside biosynthetic process,1,5
GO:1901879_regulation of protein depolymerization,1,5
GO:1902223_erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process,1,5
GO:1902290_positive regulation of defense response to oomycetes,1,5
GO:1902395_regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity,1,5
GO:1902584_positive regulation of response to water deprivation,1,5
GO:1902586_multi-organism intercellular transport,1,5
GO:1903173_fatty alcohol metabolic process,1,5
GO:1903314_regulation of nitrogen cycle metabolic process,1,5
GO:1903647_negative regulation of chlorophyll catabolic process,1,5
GO:1903789_regulation of amino acid transmembrane transport,1,5
GO:1904823_purine nucleobase transmembrane transport,1,5
GO:1905156_negative regulation of photosynthesis,1,5
GO:1990066_energy quenching,1,5
GO:1990258_histone glutamine methylation,1,5
GO:1990542_mitochondrial transmembrane transport,1,5
GO:1990822_basic amino acid transmembrane transport,0.015,5
GO:2000022_regulation of jasmonic acid mediated signaling pathway,1,5
GO:2000025_regulation of leaf formation,1,5
GO:2000027_regulation of animal organ morphogenesis,1,5
GO:2000032_regulation of secondary shoot formation,1,5
GO:2000037_regulation of stomatal complex patterning,1,5
GO:2000038_regulation of stomatal complex development,1,5
GO:2000068_regulation of defense response to insect,1,5
GO:2000070_regulation of response to water deprivation,1,5
GO:2000122_negative regulation of stomatal complex development,1,5
GO:2000124_regulation of endocannabinoid signaling pathway,1,5
GO:2000158_positive regulation of ubiquitin-specific protease activity,1,5
GO:2000209_regulation of anoikis,0.02,5
GO:2000603_regulation of secondary growth,1,5
GO:2000605_positive regulation of secondary growth,1,5
GO:2000904_regulation of starch metabolic process,1,5
GO:2001057_reactive nitrogen species metabolic process,1,5
GO:2001295_malonyl-CoA biosynthetic process,1,5
GO:0009699_phenylpropanoid biosynthetic process,0.0000091,6
GO:0010310_regulation of hydrogen peroxide metabolic process,0.00111,6
GO:0009813_flavonoid biosynthetic process,0.16,6
"GO:0009862_systemic acquired resistance, salicylic acid mediated signaling pathway",0.0222,6
GO:0051704_multi-organism process,0.00204,6
GO:0001666_response to hypoxia,0.744,6
GO:0010200_response to chitin,0.206,6
GO:0044283_small molecule biosynthetic process,0.577,6
GO:0002215_defense response to nematode,1,6
GO:0050832_defense response to fungus,0.0185,6
GO:0031640_killing of cells of other organism,1,6
GO:0009595_detection of biotic stimulus,0.000054,6
GO:0009611_response to wounding,0.593,6
GO:0009743_response to carbohydrate,0.751,6
GO:0009701_isoflavonoid phytoalexin biosynthetic process,1,6
GO:0080027_response to herbivore,1,6
GO:0009695_jasmonic acid biosynthetic process,0.454,6
GO:0009753_response to jasmonic acid,0.106,6
GO:0044036_cell wall macromolecule metabolic process,0.303,6
GO:0009805_coumarin biosynthetic process,0.303,6
GO:0002679_respiratory burst involved in defense response,0.982,6
GO:0046274_lignin catabolic process,0.451,6
GO:0009612_response to mechanical stimulus,0.629,6
GO:0030968_endoplasmic reticulum unfolded protein response,0.996,6
GO:0010117_photoprotection,0.0145,6
GO:0009807_lignan biosynthetic process,1,6
GO:1900378_positive regulation of secondary metabolite biosynthetic process,0.23,6
GO:0080113_regulation of seed growth,0.181,6
GO:0010089_xylem development,0.849,6
GO:0006950_response to stress,0.328,6
GO:0009696_salicylic acid metabolic process,0.115,6
GO:0010363_regulation of plant-type hypersensitive response,0.157,6
GO:0042742_defense response to bacterium,0.00051,6
GO:0010052_guard cell differentiation,1,6
GO:0010023_proanthocyanidin biosynthetic process,0.191,6
GO:0009751_response to salicylic acid,0.0113,6
GO:0042744_hydrogen peroxide catabolic process,0.141,6
GO:0009963_positive regulation of flavonoid biosynthetic process,0.291,6
GO:0009803_cinnamic acid metabolic process,0.231,6
GO:0006612_protein targeting to membrane,0.224,6
GO:0009651_response to salt stress,0.0141,6
GO:0042178_xenobiotic catabolic process,0.25,6
GO:0098754_detoxification,0.252,6
GO:0045793_positive regulation of cell size,0.259,6
GO:0000165_MAPK cascade,0.0979,6
GO:0006979_response to oxidative stress,0.183,6
GO:0009877_nodulation,1,6
GO:0009873_ethylene-activated signaling pathway,0.97,6
GO:0009607_response to biotic stimulus,0.0829,6
GO:0046189_phenol-containing compound biosynthetic process,0.0919,6
GO:0015718_monocarboxylic acid transport,0.271,6
GO:0006984_ER-nucleus signaling pathway,0.996,6
GO:0090617_mitochondrial mRNA 5'-end processing,1,6
GO:0019500_cyanide catabolic process,1,6
GO:0120255_olefinic compound biosynthetic process,0.166,6
GO:2000762_regulation of phenylpropanoid metabolic process,0.0387,6
GO:0006520_cellular amino acid metabolic process,0.83,6
GO:0048653_anther development,0.432,6
GO:0046680_response to DDT,1,6
GO:0000032_cell wall mannoprotein biosynthetic process,1,6
GO:0031506_cell wall glycoprotein biosynthetic process,1,6
"GO:0009836_fruit ripening, climacteric",1,6
GO:0006056_mannoprotein metabolic process,1,6
GO:0006057_mannoprotein biosynthetic process,1,6
GO:0009867_jasmonic acid mediated signaling pathway,0.198,6
GO:0071395_cellular response to jasmonic acid stimulus,0.201,6
GO:0015770_sucrose transport,0.378,6
GO:0071398_cellular response to fatty acid,0.202,6
GO:0015766_disaccharide transport,0.386,6
GO:0015772_oligosaccharide transport,0.386,6
GO:0010043_response to zinc ion,0.414,6
GO:0010584_pollen exine formation,0.375,6
GO:2000280_regulation of root development,1,6
GO:0019499_cyanide metabolic process,1,6
GO:0051410_detoxification of nitrogen compound,1,6
GO:0080110_sporopollenin biosynthetic process,1,6
GO:0006857_oligopeptide transport,0.0999,6
GO:0009267_cellular response to starvation,0.0541,6
GO:0006749_glutathione metabolic process,0.16,6
GO:0010224_response to UV-B,0.0122,6
GO:0035264_multicellular organism growth,1,6
GO:0098869_cellular oxidant detoxification,0.106,6
GO:0006820_anion transport,0.1,6
GO:0048544_recognition of pollen,1,6
GO:0009697_salicylic acid biosynthetic process,0.00023,6
GO:0006952_defense response,0.711,6
GO:0008037_cell recognition,1,6
GO:0009646_response to absence of light,0.427,6
GO:0010208_pollen wall assembly,0.427,6
GO:1990748_cellular detoxification,0.115,6
GO:0046620_regulation of organ growth,0.437,6
GO:0009723_response to ethylene,0.994,6
GO:0010441_guard cell development,1,6
GO:0010442_guard cell morphogenesis,1,6
GO:0051707_response to other organism,0.0668,6
GO:0031667_response to nutrient levels,0.0674,6
GO:0097237_cellular response to toxic substance,0.122,6
GO:0043207_response to external biotic stimulus,0.0692,6
GO:0071396_cellular response to lipid,0.355,6
GO:0042538_hyperosmotic salinity response,0.433,6
GO:0015833_peptide transport,0.125,6
GO:0015698_inorganic anion transport,0.0159,6
GO:0097306_cellular response to alcohol,0.99,6
GO:0009875_pollen-pistil interaction,1,6
GO:0009835_fruit ripening,0.00344,6
GO:0031669_cellular response to nutrient levels,0.0794,6
GO:0009636_response to toxic substance,0.463,6
GO:0045229_external encapsulating structure organization,0.382,6
GO:0052546_cell wall pectin metabolic process,0.801,6
GO:0007568_aging,0.443,6
GO:0042594_response to starvation,0.0873,6
GO:0010232_vascular transport,0.141,6
GO:0010233_phloem transport,0.141,6
GO:0003018_vascular process in circulatory system,0.145,6
GO:0009620_response to fungus,0.0448,6
GO:0009820_alkaloid metabolic process,0.0989,6
GO:0090615_mitochondrial mRNA processing,1,6
GO:0051409_response to nitrosative stress,1,6
GO:0007189_adenylate cyclase-activating G protein-coupled receptor signaling pathway,1,6
GO:0010035_response to inorganic substance,0.146,6
GO:0009960_endosperm development,0.516,6
GO:0010038_response to metal ion,0.568,6
